fecha,turno,horas_operacion,toneladas,au_cabeza,ag_cabeza,pb_cabeza,zn_cabeza,fe_cabeza,cu_cabeza,au_concentrado_pb,ag_concentrado_pb,pb_concentrado_pb,zn_concentrado_pb,fe_concentrado_pb,cu_concentrado_pb,au_colas_pb,ag_colas_pb,pb_colas_pb,zn_colas_pb,fe_colas_pb,cu_colas_pb,au_concentrado_zn,ag_concentrado_zn,pb_concentrado_zn,zn_concentrado_zn,fe_concentrado_zn,cu_concentrado_zn,au_colas_zn,ag_colas_zn,pb_colas_zn,zn_colas_zn,fe_colas_zn,cu_colas_zn,au_concentrado_fe,ag_concentrado_fe,pb_concentrado_fe,zn_concentrado_fe,fe_concentrado_fe,cu_concentrado_fe,au_colas_fe,ag_colas_fe,pb_colas_fe,zn_colas_fe,fe_colas_fe,cu_colas_fe,año,mes,dia,dia_semana,trimestre,semana_del_año,es_fin_de_semana,dias_desde_inicio,turnos_acumulados
2024-01-07,1,11.6,1832.3,3.03,751.74,1.47,2.49,7.124,0.037,47.38,12426.25,49.57,10.14,6.66,0.64,0.98,95.53,0.11,2.01,6.16,0.01,1.92,817.71,0.55,51.49,10.3,0.31,0.74,47.88,0.09,0.17,6.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1,7,6,1,1,1,5,1
2024-01-07,2,11.4,1747.8,2.87,979.95,1.73,2.7,7.141,0.041,59.62,42143.21,47.19,10.64,7.03,0.67,0.92,154.02,0.13,2.35,5.95,0.02,3.1,1198.9,0.96,50.9,10.53,0.29,0.74,87.52,0.1,0.24,6.21,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1,7,6,1,1,1,5,2
2024-01-08,1,11.4,1857.0,1.29,513.22,0.89,1.69,5.729,0.031,58.34,37652.23,43.3,9.89,8.11,0.88,0.81,143.67,0.15,1.85,5.93,0.02,4.18,1765.72,1.36,45.16,11.54,0.45,0.6,90.02,0.12,0.3,5.88,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1,8,0,1,2,0,6,1
2024-01-08,2,11.7,1999.9,2.58,569.32,0.96,1.69,5.547,0.032,48.46,23820.81,41.07,10.88,8.55,0.97,0.59,87.17,0.17,1.69,5.6,0.01,2.34,1124.42,0.98,52.7,9.99,0.5,0.54,69.6,0.13,0.4,5.67,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1,8,0,1,2,0,6,2
2024-01-09,1,12.0,2095.5,1.63,669.49,1.06,1.92,5.937,0.045,37.57,22991.24,37.01,12.65,9.36,0.9,0.49,77.68,0.09,1.52,5.31,0.02,2.22,876.51,0.93,53.52,9.36,0.44,0.4,50.79,0.07,0.28,5.19,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1,9,1,1,2,0,7,1
2024-01-09,2,10.5,1660.39602,1.63,578.92,1.14,2.03,6.109,0.037,46.27,21551.89,39.91,10.96,9.47,0.8,0.68,87.49,0.1,1.57,5.75,0.02,1.96,842.0,0.89,49.99,10.0,0.58,0.4,42.89,0.09,0.21,5.49,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1,9,1,1,2,0,7,2
2024-01-12,1,10.1,1802.59731,1.44,367.89,0.9,1.8,5.402,0.031,33.55,14184.7,37.71,11.22,7.87,0.76,0.55,81.44,0.16,1.77,5.29,0.02,1.89,853.63,4.23,50.06,8.41,0.48,0.44,68.85,0.22,0.66,5.36,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1,12,4,1,2,0,10,1
2024-01-12,2,12.0,2119.65273,1.26,342.17,1.17,2.29,6.295,0.042,29.59,10314.96,40.09,10.4,8.21,0.75,0.49,62.09,0.16,2.21,5.76,0.02,1.53,701.95,0.94,51.91,8.21,0.46,0.39,43.08,0.1,0.34,4.94,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1,12,4,1,2,0,10,2
2024-01-13,1,12.0,2053.78236,1.1,293.36,0.72,1.8,5.159,0.037,27.36,10766.9,41.46,11.19,7.85,0.71,0.4,73.49,0.15,2.07,5.28,0.04,1.2,760.36,0.79,51.12,8.05,0.43,0.25,36.19,0.08,0.26,5.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1,13,5,1,2,1,11,1
2024-01-13,2,12.0,2138.33792,1.15,350.7,1.08,2.34,6.223,0.037,35.35,13028.14,43.14,11.94,7.82,0.66,0.4,78.03,0.18,2.34,6.13,0.02,1.4,792.39,1.02,52.1,8.82,0.41,0.25,49.14,0.1,0.23,4.96,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1,13,5,1,2,1,11,2
2024-01-14,1,11.44,2037.84508,2.07,576.95,1.28,2.25,6.141,0.038,39.1,17620.41,39.36,12.06,7.26,0.78,0.78,95.82,0.14,2.06,6.27,0.02,2.06,940.72,0.82,50.23,9.11,0.44,0.72,56.84,0.09,0.14,5.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1,14,6,1,2,1,12,1
2024-01-14,2,12.0,2090.09392,2.04,686.8,1.51,2.25,6.314,0.037,32.54,14596.91,39.62,14.13,7.4,0.7,0.75,88.72,0.21,2.32,6.22,0.02,1.89,816.74,1.52,50.75,8.95,0.43,0.67,55.57,0.13,0.18,5.22,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1,14,6,1,2,1,12,2
2024-01-15,1,9.7,1673.2597,2.1,495.35,1.49,2.31,6.615,0.032,41.98,17572.06,41.3,11.48,7.15,0.76,0.78,110.72,0.14,2.03,6.2,0.02,2.19,979.11,0.86,49.17,8.32,0.39,0.59,62.1,0.13,0.26,5.32,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1,15,0,1,3,0,13,1
2024-01-15,2,12.0,2193.7266,1.72,424.01,1.04,1.95,6.245,0.03,42.83,17014.72,43.07,10.15,6.63,0.88,0.59,83.0,0.13,1.78,6.05,0.01,2.3,956.73,0.79,52.07,7.94,0.41,0.5,48.87,0.08,0.12,5.25,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1,15,0,1,3,0,13,2
2024-01-16,1,12.0,2123.5305,2.39,688.58,1.37,1.96,6.293,0.04,45.17,17660.57,44.94,10.42,6.38,0.93,0.64,80.75,0.12,1.83,5.9,0.02,2.28,935.74,0.83,52.92,7.56,0.44,0.58,50.81,0.05,0.08,4.5,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1,16,1,1,3,0,14,1
2024-01-16,2,12.0,2098.52454,2.24,685.59,0.97,1.68,5.93,0.029,49.08,25644.87,38.71,10.13,7.69,0.81,0.78,110.42,0.09,1.48,5.93,0.02,3.31,1397.28,1.25,53.73,7.69,0.4,0.63,65.5,0.05,0.11,4.4,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1,16,1,1,3,0,14,2
2024-01-17,1,12.0,2162.20112,1.69,437.45,1.01,2.18,6.001,0.036,61.14,24682.44,38.46,10.88,7.48,1.03,0.73,94.27,0.1,1.75,5.58,0.02,2.16,875.12,0.57,52.22,7.75,0.55,0.54,60.95,0.05,0.09,5.11,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1,17,2,1,3,0,15,1
2024-01-17,2,12.0,2157.05485,1.92,520.34,1.06,2.2,6.417,0.024,45.94,16700.91,42.95,11.95,6.9,0.88,0.64,100.55,0.14,2.03,6.49,0.04,2.14,889.28,0.97,51.8,8.16,0.52,0.54,63.69,0.09,0.04,4.9,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1,17,2,1,3,0,15,2
2024-01-18,1,12.0,2016.65373,2.15,607.22,1.17,2.36,6.167,0.042,46.61,21751.48,44.0,10.48,6.73,1.07,0.79,112.0,0.15,1.9,6.19,0.02,1.98,950.97,0.78,51.29,8.08,0.51,0.63,64.76,0.07,0.14,4.71,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1,18,3,1,3,0,16,1
2024-01-18,2,12.0,2069.29758,1.72,536.43,1.45,2.55,6.491,0.043,52.0,19273.91,44.6,11.06,7.57,0.92,0.68,112.25,0.16,2.49,6.56,0.02,1.68,818.79,0.75,52.19,7.86,0.45,0.64,67.59,0.09,0.15,5.28,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1,18,3,1,3,0,16,2
2024-01-19,1,12.0,2096.82879,1.33,512.11,1.11,2.1,6.496,0.033,46.28,19659.2,42.73,10.71,7.65,0.83,0.49,92.73,0.11,2.06,6.15,0.02,1.37,810.79,0.64,52.36,8.59,0.39,0.39,61.86,0.06,0.11,4.71,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1,19,4,1,3,0,17,1
2024-01-19,2,10.2,1665.44109,1.57,500.78,0.99,1.85,6.279,0.031,71.51,20018.06,37.38,12.12,8.75,0.75,0.64,86.95,0.11,1.86,6.33,0.01,2.11,774.62,0.73,50.73,9.61,0.39,0.57,60.04,0.07,0.13,4.88,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1,19,4,1,3,0,17,2
2024-01-20,1,12.0,2094.3195,1.41,395.9,0.86,1.93,6.276,0.032,37.07,13974.48,38.57,10.69,8.28,0.83,0.69,76.47,0.1,1.91,5.76,0.01,2.53,806.19,0.73,52.84,9.97,0.36,0.54,52.37,0.06,0.21,5.34,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1,20,5,1,3,1,18,1
2024-01-20,2,12.0,1999.90076,2.23,402.01,0.87,2.06,6.657,0.031,51.85,17750.11,42.28,11.69,8.04,0.82,0.83,103.78,0.11,1.97,6.9,0.01,2.48,940.03,0.86,51.46,10.33,0.35,0.72,56.57,0.09,0.26,6.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1,20,5,1,3,1,18,2
2024-01-21,1,11.7,1932.51951,1.68,359.33,1.03,2.23,6.543,0.057,45.41,13309.64,38.85,12.06,8.4,0.85,0.68,77.8,0.12,2.04,6.43,0.01,1.73,771.96,0.74,50.58,9.09,0.38,0.65,48.14,0.1,0.22,5.79,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1,21,6,1,3,1,19,1
2024-01-21,2,12.0,2028.8417,1.54,380.85,1.43,2.81,6.96,0.035,36.63,12474.65,41.42,11.5,8.42,0.81,0.7,81.14,0.11,2.32,6.39,0.01,1.95,752.08,0.65,53.12,8.95,0.39,0.64,45.47,0.08,0.22,5.8,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1,21,6,1,3,1,19,2
2024-01-22,1,12.0,1992.21186,1.25,346.43,1.12,2.86,6.816,0.04,22.84,10348.85,40.96,13.14,8.08,1.05,0.54,83.7,0.12,2.69,6.94,0.02,2.17,677.46,0.68,51.3,9.15,0.47,0.49,48.55,0.08,0.47,6.65,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1,22,0,1,4,0,20,1
2024-01-22,2,12.0,2116.40286,1.66,486.14,1.34,3.2,7.495,0.045,32.45,13144.96,44.48,11.73,8.49,0.86,0.72,85.57,0.12,2.95,6.8,0.02,2.19,681.08,0.69,49.86,10.42,0.46,0.65,50.84,0.09,0.76,6.53,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1,22,0,1,4,0,20,2
2024-01-23,1,11.3,1871.614,1.89,435.39,1.06,2.29,7.008,0.033,37.63,14581.42,38.65,12.55,8.26,0.92,0.58,84.11,0.11,2.25,6.5,0.02,1.84,804.76,0.72,51.47,10.89,0.48,0.39,50.84,0.09,0.23,6.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1,23,1,1,4,0,21,1
2024-01-23,2,12.0,2126.8505,2.21,485.71,1.11,2.47,6.549,0.035,36.47,15300.04,41.94,12.28,8.36,0.93,0.59,89.08,0.1,2.22,6.42,0.02,1.87,791.52,0.67,49.9,10.75,0.45,0.55,62.08,0.08,0.19,5.77,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1,23,1,1,4,0,21,2
2024-01-24,1,11.9,1896.64104,1.55,426.0,0.74,2.13,5.495,0.033,35.79,15317.58,42.68,12.04,7.6,0.91,0.35,98.48,0.13,2.41,6.44,0.02,1.4,795.47,0.9,52.61,10.12,0.46,0.25,56.84,0.12,0.33,5.99,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1,24,2,1,4,0,22,1
2024-01-24,2,12.0,2094.04783,1.15,413.09,0.86,2.48,5.737,0.035,29.19,16103.72,52.58,8.46,5.99,0.94,0.4,118.96,0.15,2.65,6.77,0.02,1.4,719.64,0.68,51.75,10.58,0.43,0.3,52.74,0.11,0.26,6.24,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1,24,2,1,4,0,22,2
2024-02-01,1,12.0,2055.99384,0.94,465.77,1.65,3.35,8.209,0.037,20.31,12265.24,48.12,9.8,7.95,0.81,0.35,110.71,0.14,2.99,7.53,0.02,0.7,772.82,0.61,50.91,10.34,0.42,0.24,63.55,0.11,0.24,6.95,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,2,1,3,1,5,0,30,1
2024-02-01,2,12.0,2108.26368,1.2,790.57,2.43,4.04,9.484,0.018,15.87,12361.42,48.18,8.62,7.49,0.66,0.34,116.85,0.14,3.32,7.67,0.04,0.58,706.27,0.54,52.78,10.52,0.36,0.3,70.03,0.12,0.26,7.67,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,2,1,3,1,5,0,30,2
2024-02-02,1,12.0,1981.02548,1.19,515.25,1.46,3.18,7.117,0.039,17.44,11666.79,48.02,6.98,6.62,0.58,0.48,155.13,0.24,3.28,8.56,0.02,0.69,813.2,0.7,51.8,10.88,0.35,0.39,96.9,0.19,0.29,7.88,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,2,2,4,1,5,0,31,1
2024-02-02,2,12.0,2009.17675,1.23,445.54,1.23,3.09,7.311,0.036,23.5,13263.67,47.34,8.37,8.07,0.52,0.58,121.5,0.14,2.86,6.99,0.02,0.92,929.01,0.6,52.48,10.69,0.37,0.4,79.68,0.15,0.27,7.14,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,2,2,4,1,5,0,31,2
2024-02-03,1,10.0,1711.02987,1.25,379.14,0.98,2.35,6.592,0.026,33.16,14818.92,41.54,7.47,8.01,0.54,0.4,115.38,0.15,2.27,6.55,0.01,1.4,974.43,0.58,52.18,10.25,0.36,0.3,85.98,0.14,0.09,6.31,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,2,3,5,1,5,1,32,1
2024-02-03,2,11.9,1987.2297,1.25,447.91,1.2,2.83,7.114,0.03,37.73,14683.21,42.21,7.72,8.02,0.64,0.4,127.82,0.17,2.55,6.83,0.01,1.4,1107.83,1.0,51.14,11.02,0.4,0.25,66.04,0.13,0.35,6.49,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,2,3,5,1,5,1,32,2
2024-02-04,1,12.0,1999.9872,1.33,433.37,1.29,2.67,6.685,0.034,22.21,13029.47,54.69,5.81,6.42,0.51,0.54,182.0,0.23,3.19,7.58,0.02,1.47,1222.51,1.05,53.18,10.53,0.37,0.35,86.99,0.16,0.41,7.28,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,2,4,6,1,5,1,33,1
2024-02-04,2,8.0,1735.3782,1.06,362.75,1.11,2.48,6.559,0.031,22.33,12915.28,59.57,6.06,5.38,0.73,0.67,221.09,0.3,2.96,7.67,0.02,2.49,1920.34,2.5,53.29,11.31,0.37,0.49,79.73,0.14,0.28,6.86,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,2,4,6,1,5,1,33,2
2024-02-05,2,12.0,2119.45,1.62,902.38,2.36,3.72,8.94,0.043,20.08,11188.55,55.28,5.68,6.48,0.8,0.54,133.94,0.2,3.76,8.11,0.02,1.13,1148.61,1.03,50.85,11.04,0.35,0.44,99.94,0.17,0.48,8.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,2,5,0,1,6,0,34,1
2024-02-06,1,12.0,2105.41884,1.47,622.24,2.4,3.98,9.586,0.05,18.58,10578.21,55.63,6.03,6.59,0.68,0.59,202.55,0.27,3.58,8.58,0.02,1.12,1235.44,0.93,52.69,11.15,0.31,0.53,104.19,0.19,0.34,8.16,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,2,6,1,1,6,0,35,1
2024-02-06,2,11.6,2066.94132,1.42,619.18,2.41,3.6,8.423,0.047,22.25,12373.39,53.43,7.38,6.98,0.7,0.58,194.77,0.22,3.46,8.16,0.02,1.06,1303.04,0.87,52.44,10.48,0.28,0.54,103.26,0.2,0.26,7.94,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,2,6,1,1,6,0,35,2
2024-02-07,2,10.6,1867.31896,1.1,610.85,2.74,3.29,7.527,0.051,20.13,11753.51,59.12,6.0,5.51,0.72,0.59,196.51,0.28,3.43,7.99,0.03,3.05,2078.84,4.36,45.33,10.06,0.41,0.49,103.5,0.17,0.22,7.13,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,2,7,2,1,6,0,36,1
2024-02-08,1,10.8,1951.47696,1.3,609.09,2.66,4.59,9.121,0.057,14.21,8908.84,54.39,9.12,6.23,0.67,0.6,163.47,0.34,4.66,9.08,0.03,1.39,1155.67,1.37,51.83,10.29,0.36,0.55,106.69,0.27,0.64,9.09,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,2,8,3,1,6,0,37,1
2024-02-08,2,12.0,1998.6519,1.35,552.38,2.19,3.68,8.772,0.056,15.84,10002.38,44.41,12.81,8.24,0.72,0.6,144.21,0.21,3.67,8.51,0.03,0.79,814.19,0.74,52.07,10.5,0.35,0.5,84.94,0.18,0.26,7.33,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,2,8,3,1,6,0,37,2
2024-02-09,1,12.0,1971.70776,1.1,568.93,1.64,3.19,8.854,0.045,16.46,9130.25,37.86,12.7,8.5,0.66,0.67,201.48,0.27,2.92,8.58,0.04,2.01,1416.34,2.36,50.36,10.43,0.38,0.5,92.66,0.16,0.29,7.65,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,2,9,4,1,6,0,38,1
2024-02-09,2,12.0,2042.97068,1.14,319.69,0.76,1.61,6.311,0.04,20.61,10669.57,40.45,10.72,8.64,0.72,0.48,96.26,0.12,1.72,6.44,0.03,1.05,998.93,0.58,48.3,10.97,0.4,0.43,57.01,0.11,0.13,5.73,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,2,9,4,1,6,0,38,2
2024-02-10,1,10.6,1870.14724,0.95,294.95,0.93,2.22,6.73,0.04,18.37,9100.51,38.39,11.71,7.68,0.74,0.3,89.93,0.12,2.25,6.85,0.01,1.2,865.89,0.64,50.73,11.3,0.46,0.2,43.24,0.09,0.24,5.87,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,2,10,5,1,6,1,39,1
2024-02-10,2,10.9,1888.42412,0.95,582.3,1.07,2.97,7.472,0.041,20.38,10562.75,37.93,11.99,8.83,0.72,0.3,104.59,0.15,2.92,8.25,0.02,1.0,640.32,0.48,51.13,11.3,0.35,0.2,58.58,0.15,0.32,7.61,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,2,10,5,1,6,1,39,2
2024-02-11,1,11.2,1944.57092,1.13,340.47,0.94,2.11,6.647,0.037,21.28,11587.3,40.01,11.8,8.13,0.68,0.55,105.27,0.13,2.38,7.8,0.03,0.75,686.99,0.47,51.25,10.91,0.34,0.45,62.24,0.15,0.26,7.29,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,2,11,6,1,6,1,40,1
2024-02-11,2,11.5,1970.24289,1.36,515.42,1.26,2.87,7.914,0.041,18.75,10874.56,44.26,11.14,7.59,0.68,0.55,112.49,0.13,2.63,6.9,0.03,1.16,800.95,0.59,50.68,11.41,0.34,0.44,60.47,0.11,0.25,6.29,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,2,11,6,1,6,1,40,2
2024-02-12,1,12.0,2043.30252,1.16,433.34,1.44,3.11,7.715,0.038,19.03,10782.99,44.3,11.73,7.88,0.53,0.58,113.55,0.16,3.02,8.17,0.03,0.8,676.16,0.53,51.88,11.5,0.3,0.5,83.59,0.14,0.56,8.36,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,2,12,0,1,7,0,41,1
